trade_num,equity,rolling_win_rate_30
1,104.84,1.0
2,99.6,0.5
3,104.03,0.667
4,109.07,0.75
5,114.06,0.8
6,108.36,0.667
7,102.94,0.571
8,108.03,0.625
9,102.63,0.556
10,97.5,0.5
11,92.62,0.455
12,87.99,0.417
13,92.46,0.462
14,96.97,0.5
15,92.12,0.467
16,96.53,0.5
17,101.54,0.529
18,106.12,0.556
19,100.81,0.526
20,105.63,0.55
21,100.35,0.524
22,105.15,0.545
23,109.99,0.565
24,104.49,0.542
25,99.27,0.52
26,103.74,0.538
27,108.81,0.556
28,113.99,0.571
29,108.29,0.552
30,102.88,0.533
31,97.74,0.5
32,102.11,0.533
33,97.0,0.5
34,101.42,0.5
35,106.31,0.5
36,111.74,0.533
37,106.15,0.533
38,100.84,0.5
39,105.51,0.533
40,109.93,0.567
41,115.15,0.6
42,109.39,0.6
43,103.92,0.567
44,98.72,0.533
45,103.33,0.567
46,98.16,0.533
47,102.58,0.533
48,107.71,0.533
49,102.32,0.533
50,97.2,0.5
51,102.02,0.533
52,107.02,0.533
53,101.67,0.5
54,106.47,0.533
55,111.87,0.567
56,106.28,0.533
57,100.97,0.5
58,105.98,0.5
59,111.41,0.533
60,105.84,0.533
61,100.55,0.533
62,105.29,0.533
63,100.03,0.533
64,95.03,0.5
65,99.33,0.5
66,94.36,0.467
67,99.14,0.5
68,94.18,0.5
69,98.98,0.5
70,94.03,0.467
71,98.33,0.467
72,93.41,0.467
73,98.25,0.5
74,102.62,0.533
75,107.47,0.533
76,102.1,0.533
77,107.15,0.533
78,101.79,0.5
79,96.7,0.5
80,101.6,0.533
81,96.52,0.5
82,101.09,0.5
83,96.04,0.5
84,91.24,0.467
85,95.71,0.467
86,90.92,0.467
87,95.12,0.5
88,99.98,0.5
89,104.88,0.5
90,99.64,0.5
91,94.66,0.5
92,89.93,0.467
93,85.43,0.467
94,81.16,0.467
95,84.86,0.467
96,80.62,0.467
97,84.51,0.467
98,88.61,0.5
99,84.18,0.467
100,79.97,0.467
101,84.1,0.467
102,88.43,0.5
103,92.88,0.5
104,97.27,0.5
105,102.29,0.5
106,97.18,0.5
107,102.2,0.5
108,97.09,0.5
109,101.41,0.533
110,96.34,0.5
111,101.24,0.533
112,105.97,0.533
113,111.35,0.567
114,105.78,0.567
115,100.49,0.533
116,95.47,0.533
117,100.0,0.533
118,95.0,0.5
119,90.25,0.467
120,85.74,0.467
121,89.84,0.5
122,94.49,0.533
123,89.77,0.533
124,85.41,0.533
125,81.14,0.5
126,77.08,0.5
127,80.81,0.5
128,84.55,0.5
129,80.32,0.5
130,76.3,0.5
131,80.11,0.5
132,76.1,0.467
133,72.3,0.433
134,76.01,0.433
135,79.65,0.433
136,83.32,0.467
137,79.15,0.433
138,75.19,0.433
139,71.43,0.4
140,74.62,0.433
141,70.89,0.4
142,67.35,0.367
143,70.82,0.367
144,67.28,0.367
145,70.53,0.4
146,73.96,0.433
147,77.81,0.433
148,73.92,0.433
149,70.22,0.433
150,73.52,0.467
151,69.84,0.433
152,73.23,0.433
153,69.57,0.433
154,72.89,0.467
155,76.44,0.5
156,72.62,0.5
157,68.99,0.467
158,72.36,0.467
159,68.74,0.467
160,65.3,0.467
161,68.6,0.467
