time,open,high,low,close,volume,tbbav
2025-12-09 03:00:00+00:00,90068.21,90442.77,89795.84,90405.01,1217.20174,589.13634
2025-12-09 04:00:00+00:00,90405.02,90500.0,89737.47,89917.53,488.51951,187.65925
2025-12-09 05:00:00+00:00,89917.52,90209.96,89500.0,89899.35,650.65388,272.36399
2025-12-09 06:00:00+00:00,89899.35,90232.76,89775.67,90166.84,321.30432,130.26816
2025-12-09 07:00:00+00:00,90166.85,90528.67,90091.56,90496.8,407.14103,194.08054
2025-12-09 08:00:00+00:00,90496.8,90600.0,90366.35,90498.72,400.27808,216.86815
2025-12-09 09:00:00+00:00,90498.72,90498.72,90129.21,90131.59,285.35023,118.62157
2025-12-09 10:00:00+00:00,90131.6,90345.39,89912.48,90298.45,489.74956,239.75769
2025-12-09 11:00:00+00:00,90298.44,90396.01,90140.02,90384.55,387.10655,196.70833
2025-12-09 12:00:00+00:00,90384.54,90690.35,90331.0,90580.0,401.62507,229.67673
2025-12-09 13:00:00+00:00,90580.01,90850.0,90174.66,90431.03,643.67225,301.08702
2025-12-09 14:00:00+00:00,90431.02,90644.02,90004.73,90357.59,710.07225,269.28814
2025-12-09 15:00:00+00:00,90357.6,92876.92,90288.1,92707.51,3162.30439,1714.24587
2025-12-09 16:00:00+00:00,92707.5,94488.64,92693.5,94187.81,4040.1561,2304.5898
2025-12-09 17:00:00+00:00,94187.81,94588.99,93538.93,93917.99,1823.80002,879.22367
2025-12-09 18:00:00+00:00,93918.0,94178.31,93661.45,93920.48,704.49653,301.18471
2025-12-09 19:00:00+00:00,93920.48,94225.0,93651.68,93800.83,735.99959,349.3056
2025-12-09 20:00:00+00:00,93800.83,93857.47,92767.71,93116.76,1097.12749,487.86179
2025-12-09 21:00:00+00:00,93116.76,93243.12,92254.92,92640.0,879.12299,350.40564
2025-12-09 22:00:00+00:00,92640.01,93045.89,92506.67,92884.0,731.02631,394.67704
2025-12-09 23:00:00+00:00,92884.0,92977.98,92550.0,92678.8,525.51211,233.42814
2025-12-10 00:00:00+00:00,92678.81,92786.35,92061.0,92130.81,598.49502,266.29825
2025-12-10 01:00:00+00:00,92130.82,92400.0,91976.0,92316.36,529.89686,261.08852
2025-12-10 02:00:00+00:00,92316.35,92570.54,92027.89,92495.68,611.21334,283.93991
2025-12-10 03:00:00+00:00,92495.89,92553.23,92348.66,92410.62,257.39408,132.71296
2025-12-10 04:00:00+00:00,92410.62,92659.99,92386.83,92552.62,310.96334,171.15214
2025-12-10 05:00:00+00:00,92552.63,92725.0,92517.53,92556.28,373.62942,207.72761
2025-12-10 06:00:00+00:00,92556.28,92757.58,92396.24,92700.0,314.97149,151.54408
2025-12-10 07:00:00+00:00,92700.01,92782.92,92500.0,92782.91,364.28563,163.11171
2025-12-10 08:00:00+00:00,92782.91,92790.0,92549.81,92605.0,321.85602,133.20322
2025-12-10 09:00:00+00:00,92604.99,92972.07,92439.4,92920.01,472.03746,266.41543
2025-12-10 10:00:00+00:00,92920.0,93291.5,92135.09,92272.66,859.47741,363.85575
2025-12-10 11:00:00+00:00,92272.66,92438.98,91763.69,92120.45,969.68906,290.67702
2025-12-10 12:00:00+00:00,92120.45,92216.55,91815.35,91987.22,467.90168,147.64535
2025-12-10 13:00:00+00:00,91987.22,92226.0,91939.42,92093.66,432.08812,233.0142
2025-12-10 14:00:00+00:00,92093.65,92112.57,91600.81,91831.24,883.60779,380.57601
2025-12-10 15:00:00+00:00,91831.24,92149.06,91563.15,92063.69,739.55204,329.58456
2025-12-10 16:00:00+00:00,92063.69,92595.11,91899.1,92174.11,785.95701,409.12491
2025-12-10 17:00:00+00:00,92174.11,92515.82,92102.44,92396.23,598.06235,213.58442
2025-12-10 18:00:00+00:00,92396.23,93056.0,92000.0,92503.48,870.70118,431.86791
2025-12-10 19:00:00+00:00,92503.49,93243.59,91684.39,92957.67,3165.76426,1610.57621
2025-12-10 20:00:00+00:00,92957.67,94476.0,92259.25,92453.89,3153.97141,1740.62077
2025-12-10 21:00:00+00:00,92453.89,92777.34,91878.0,92356.38,1001.00392,521.91426
2025-12-10 22:00:00+00:00,92356.39,92695.31,91954.54,92509.94,585.06287,322.01932
2025-12-10 23:00:00+00:00,92509.94,92593.96,91942.56,92015.37,331.09907,165.07664
2025-12-11 00:00:00+00:00,92015.38,92080.32,91051.0,91386.17,916.87916,392.1936
2025-12-11 01:00:00+00:00,91386.17,91407.04,90658.24,90674.74,818.48242,364.84966
2025-12-11 02:00:00+00:00,90674.75,90674.75,89876.81,90074.0,1250.21688,586.13787
2025-12-11 03:00:00+00:00,90073.99,90074.01,89389.63,89880.01,1095.56844,477.90956
2025-12-11 04:00:00+00:00,89880.0,90480.14,89694.81,90436.55,943.40562,537.86755
2025-12-11 05:00:00+00:00,90436.55,90436.56,90048.2,90316.72,404.63689,195.5391
2025-12-11 06:00:00+00:00,90316.72,90450.97,89975.89,90301.35,525.01502,205.17839
2025-12-11 07:00:00+00:00,90301.35,90333.49,90088.0,90272.75,372.27346,181.44386
2025-12-11 08:00:00+00:00,90272.76,90272.76,89971.11,90183.71,511.95493,190.0255
2025-12-11 09:00:00+00:00,90183.71,90504.19,90123.01,90234.19,439.70575,225.83144
2025-12-11 10:00:00+00:00,90234.19,90352.59,90172.61,90320.15,273.3976,128.06692
2025-12-11 11:00:00+00:00,90320.15,90417.3,90210.44,90242.35,278.9006,108.93281
2025-12-11 12:00:00+00:00,90242.36,90377.63,90006.01,90032.31,428.00948,169.87248
