sim_num,final_bankroll,roi_pct
1,68.57,-31.4
2,68.55,-31.4
3,68.64,-31.4
4,68.51,-31.5
5,68.65,-31.3
6,68.6,-31.4
7,68.59,-31.4
8,68.61,-31.4
9,68.61,-31.4
10,68.61,-31.4
11,68.57,-31.4
12,68.59,-31.4
13,68.61,-31.4
14,68.55,-31.4
15,68.61,-31.4
16,68.55,-31.4
17,68.65,-31.3
18,68.62,-31.4
19,68.6,-31.4
20,68.57,-31.4
21,68.62,-31.4
22,68.58,-31.4
23,68.59,-31.4
24,68.63,-31.4
25,68.61,-31.4
26,68.65,-31.3
27,68.62,-31.4
28,68.59,-31.4
29,68.62,-31.4
30,68.57,-31.4
31,68.6,-31.4
32,68.61,-31.4
33,68.57,-31.4
34,68.59,-31.4
35,68.6,-31.4
36,68.62,-31.4
37,68.63,-31.4
38,68.58,-31.4
39,68.62,-31.4
40,68.61,-31.4
41,68.6,-31.4
42,68.56,-31.4
43,68.59,-31.4
44,68.56,-31.4
45,68.72,-31.3
46,68.61,-31.4
47,68.6,-31.4
48,68.64,-31.4
49,68.57,-31.4
50,68.59,-31.4
51,68.62,-31.4
52,68.56,-31.4
53,68.54,-31.5
54,68.61,-31.4
55,68.64,-31.4
56,68.6,-31.4
57,68.62,-31.4
58,68.61,-31.4
59,68.58,-31.4
60,68.6,-31.4
61,68.56,-31.4
62,68.57,-31.4
63,68.58,-31.4
64,68.61,-31.4
65,68.72,-31.3
66,68.51,-31.5
67,68.59,-31.4
68,68.61,-31.4
69,68.62,-31.4
70,68.55,-31.4
71,68.64,-31.4
72,68.61,-31.4
73,68.64,-31.4
74,68.59,-31.4
75,68.57,-31.4
76,68.6,-31.4
77,68.62,-31.4
78,68.56,-31.4
79,68.6,-31.4
80,68.64,-31.4
81,68.58,-31.4
82,68.6,-31.4
83,68.63,-31.4
84,68.58,-31.4
85,68.62,-31.4
86,68.6,-31.4
87,68.64,-31.4
88,68.62,-31.4
89,68.57,-31.4
90,68.61,-31.4
91,68.65,-31.3
92,68.59,-31.4
93,68.58,-31.4
94,68.62,-31.4
95,68.54,-31.5
96,68.6,-31.4
97,68.59,-31.4
98,68.59,-31.4
99,68.59,-31.4
100,68.56,-31.4
101,68.59,-31.4
102,68.61,-31.4
103,68.6,-31.4
104,68.6,-31.4
105,68.62,-31.4
106,68.59,-31.4
107,68.59,-31.4
108,68.62,-31.4
109,68.6,-31.4
110,68.64,-31.4
111,68.58,-31.4
112,68.65,-31.3
113,68.61,-31.4
114,68.56,-31.4
115,68.61,-31.4
