time,open,high,low,close,volume,tbbav
2026-01-09 08:45:00+00:00,90314.66,90348.6,89694.66,90033.52,547.16075,223.99455
2026-01-09 09:00:00+00:00,90033.52,90263.17,90014.6,90158.09,190.61993,105.0563
2026-01-09 09:15:00+00:00,90158.09,90481.2,90061.06,90414.34,140.21024,83.90114
2026-01-09 09:30:00+00:00,90414.35,90414.35,90297.83,90363.84,137.09927,102.55606
2026-01-09 09:45:00+00:00,90363.84,90430.0,90290.6,90338.46,39.52243,16.80437
2026-01-09 10:00:00+00:00,90338.47,90498.8,90283.47,90406.28,56.94814,34.23074
2026-01-09 10:15:00+00:00,90406.28,90558.01,90406.27,90438.85,235.74417,184.17816
2026-01-09 10:30:00+00:00,90438.85,90536.76,90410.11,90506.65,49.40682,24.25411
2026-01-09 10:45:00+00:00,90506.66,90539.36,90485.86,90485.87,54.69364,21.02511
2026-01-09 11:00:00+00:00,90485.87,90593.6,90449.08,90593.6,167.73138,132.38516
2026-01-09 11:15:00+00:00,90593.6,90691.32,90506.71,90568.02,148.01352,83.75562
2026-01-09 11:30:00+00:00,90568.02,90610.08,90478.79,90528.24,97.68573,56.86071
2026-01-09 11:45:00+00:00,90528.25,90573.1,90404.21,90463.11,127.16522,57.07046
2026-01-09 12:00:00+00:00,90463.12,90603.53,90394.62,90418.77,226.40388,126.84034
2026-01-09 12:15:00+00:00,90418.77,90433.56,90235.13,90342.15,204.08729,114.47117
2026-01-09 12:30:00+00:00,90342.16,90460.79,90315.17,90428.95,170.49323,127.19646
2026-01-09 12:45:00+00:00,90428.95,90477.71,90386.74,90449.23,89.18673,55.33786
2026-01-09 13:00:00+00:00,90449.22,90668.79,90444.91,90631.31,72.61164,49.8487
2026-01-09 13:15:00+00:00,90631.31,90725.64,90580.69,90591.46,152.01879,86.45234
2026-01-09 13:30:00+00:00,90591.46,90938.62,90405.15,90617.32,399.69017,217.39652
2026-01-09 13:45:00+00:00,90617.31,90720.55,90482.35,90607.66,98.36245,55.05449
2026-01-09 14:00:00+00:00,90607.66,90607.67,90249.93,90343.86,113.99058,44.14873
2026-01-09 14:15:00+00:00,90343.87,90592.0,90318.81,90556.92,61.87314,37.38
2026-01-09 14:30:00+00:00,90556.91,90666.91,90084.53,90096.61,297.83959,114.94538
2026-01-09 14:45:00+00:00,90096.61,90239.54,89940.0,90150.0,366.6741,190.0236
2026-01-09 15:00:00+00:00,90150.01,90328.0,89850.0,90259.02,329.12484,129.53478
2026-01-09 15:15:00+00:00,90259.03,91797.92,90165.78,91680.59,1512.18069,1148.06633
2026-01-09 15:30:00+00:00,91680.59,92082.55,91200.01,91236.19,1281.88392,785.68171
2026-01-09 15:45:00+00:00,91236.19,91557.63,90851.29,91176.47,317.93956,151.29085
2026-01-09 16:00:00+00:00,91176.48,91764.7,91175.79,91763.99,272.07732,160.8061
2026-01-09 16:15:00+00:00,91764.0,91783.32,91320.0,91379.41,349.05824,78.43757
2026-01-09 16:30:00+00:00,91379.42,91480.0,91260.0,91468.55,239.21545,150.29276
2026-01-09 16:45:00+00:00,91468.55,91666.0,91425.77,91623.89,283.12535,210.92787
2026-01-09 17:00:00+00:00,91623.89,91680.41,91244.98,91351.71,396.12263,235.71391
2026-01-09 17:15:00+00:00,91351.72,91351.72,91012.0,91133.76,119.679,56.19667
2026-01-09 17:30:00+00:00,91133.75,91291.31,91059.88,91163.35,86.54752,46.55052
2026-01-09 17:45:00+00:00,91163.36,91532.76,91150.07,91422.23,86.54208,49.96608
2026-01-09 18:00:00+00:00,91422.23,91507.82,91243.01,91283.29,72.48026,35.26462
2026-01-09 18:15:00+00:00,91283.28,91283.28,90588.06,90603.53,190.53511,71.88452
2026-01-09 18:30:00+00:00,90603.53,90865.35,90340.0,90812.99,221.5357,115.71272
2026-01-09 18:45:00+00:00,90812.99,90954.52,90666.45,90820.31,66.59308,29.39758
2026-01-09 19:00:00+00:00,90820.3,90820.3,90523.47,90552.0,148.15864,58.51696
2026-01-09 19:15:00+00:00,90552.01,90579.99,90300.0,90328.34,177.65667,73.85007
2026-01-09 19:30:00+00:00,90328.34,90477.25,90190.0,90343.59,139.07503,66.00973
2026-01-09 19:45:00+00:00,90343.59,90622.85,90332.15,90332.15,113.68837,36.96152
2026-01-09 20:00:00+00:00,90332.14,90453.4,90235.5,90404.42,85.55653,45.57171
2026-01-09 20:15:00+00:00,90404.43,90568.86,90355.33,90472.86,61.56056,30.69905
2026-01-09 20:30:00+00:00,90472.87,90580.62,90263.68,90263.69,55.85877,16.83981
2026-01-09 20:45:00+00:00,90263.68,90402.21,90235.0,90303.36,110.34082,67.83697
