timestamp,direction,signal,confidence,kelly_mult,vwap,price,vwap_dev_pct,market_price,win_prob,entry_close,exit_close,bet_usdc,outcome,pnl,bankroll
2022-04-05 20:50 UTC,UP,BOTH,0.9,1.0,46305.53,45780.01,-1.135,0.498,0.592,45780.01,45877.97,5.0,WIN,4.84,104.84
2022-04-05 20:55 UTC,UP,BOTH,0.851,1.0,46303.24,45877.97,-0.918,0.496,0.588,45877.97,45841.97,5.24,LOSS,-5.24,99.6
2022-04-06 20:20 UTC,UP,BOTH,0.9,1.0,44451.94,43884.02,-1.278,0.519,0.592,43884.02,43937.67,4.98,WIN,4.43,104.03
2022-04-06 20:25 UTC,UP,BOTH,0.9,1.0,44451.24,43937.67,-1.155,0.498,0.592,43937.67,43941.47,5.2,WIN,5.04,109.07
2022-04-06 20:45 UTC,UP,BOTH,0.9,1.0,44447.98,43919.45,-1.189,0.512,0.592,43919.45,43923.61,5.45,WIN,4.99,114.06
2022-04-06 20:50 UTC,UP,BOTH,0.9,1.0,44447.11,43923.61,-1.178,0.489,0.592,43923.61,43877.45,5.7,LOSS,-5.7,108.36
2022-04-08 13:45 UTC,UP,BOTH,0.9,1.0,43442.02,42922.75,-1.195,0.495,0.592,42922.75,42907.11,5.42,LOSS,-5.42,102.94
2022-04-08 14:00 UTC,UP,BOTH,0.654,1.0,43426.28,43170.01,-0.59,0.493,0.572,43170.01,43357.52,5.15,WIN,5.09,108.03
2022-04-08 20:30 UTC,UP,BOTH,0.9,1.0,43298.2,42801.93,-1.146,0.51,0.592,42801.93,42773.22,5.4,LOSS,-5.4,102.63
2022-04-08 20:50 UTC,UP,BOTH,0.9,1.0,43294.97,42809.92,-1.12,0.513,0.592,42809.92,42798.74,5.13,LOSS,-5.13,97.5
2022-04-11 13:45 UTC,UP,BOTH,0.9,1.0,41674.08,41155.91,-1.243,0.517,0.592,41155.91,41104.08,4.88,LOSS,-4.88,92.62
2022-04-11 20:15 UTC,UP,BOTH,0.9,1.0,41181.94,39837.77,-3.264,0.507,0.592,39837.77,39736.06,4.63,LOSS,-4.63,87.99
